"release_date","Artist","Popularity"
2002-01-01,"Black Eyed Peas",0
2002-01-01,"Britney Spears",0
2002-01-01,"Coldplay",0
2002-01-01,"Don Omar",0
2002-01-01,"Eminem",0
2002-01-01,"Kanye West",0
2002-01-01,"Nickelback",0
2002-01-01,"Rihanna",0
2002-01-01,"Seether",67
2002-01-01,"Shakira",0
2003-01-01,"Black Eyed Peas",0
2003-01-01,"Britney Spears",0
2003-01-01,"Coldplay",0
2003-01-01,"Don Omar",83
2003-01-01,"Eminem",0
2003-01-01,"Kanye West",0
2003-01-01,"Nickelback",0
2003-01-01,"Rihanna",0
2003-01-01,"Seether",0
2003-01-01,"Shakira",0
2002-11-17,"Black Eyed Peas",0
2002-11-17,"Britney Spears",0
2002-11-17,"Coldplay",0
2002-11-17,"Don Omar",0
2002-11-17,"Eminem",0
2002-11-17,"Kanye West",0
2002-11-17,"Nickelback",0
2002-11-17,"Rihanna",0
2002-11-17,"Seether",0
2002-11-17,"Shakira",0
2002-06-01,"Black Eyed Peas",0
2002-06-01,"Britney Spears",0
2002-06-01,"Coldplay",0
2002-06-01,"Don Omar",0
2002-06-01,"Eminem",0
2002-06-01,"Kanye West",0
2002-06-01,"Nickelback",0
2002-06-01,"Rihanna",0
2002-06-01,"Seether",0
2002-06-01,"Shakira",0
2005-04-26,"Black Eyed Peas",0
2005-04-26,"Britney Spears",0
2005-04-26,"Coldplay",0
2005-04-26,"Don Omar",0
2005-04-26,"Eminem",0
2005-04-26,"Kanye West",0
2005-04-26,"Nickelback",0
2005-04-26,"Rihanna",0
2005-04-26,"Seether",0
2005-04-26,"Shakira",0
2009-06-09,"Black Eyed Peas",0
2009-06-09,"Britney Spears",0
2009-06-09,"Coldplay",0
2009-06-09,"Don Omar",0
2009-06-09,"Eminem",0
2009-06-09,"Kanye West",0
2009-06-09,"Nickelback",0
2009-06-09,"Rihanna",0
2009-06-09,"Seether",0
2009-06-09,"Shakira",0
2002-06-04,"Black Eyed Peas",0
2002-06-04,"Britney Spears",0
2002-06-04,"Coldplay",0
2002-06-04,"Don Omar",0
2002-06-04,"Eminem",0
2002-06-04,"Kanye West",0
2002-06-04,"Nickelback",0
2002-06-04,"Rihanna",0
2002-06-04,"Seether",0
2002-06-04,"Shakira",0
2007-04-17,"Black Eyed Peas",0
2007-04-17,"Britney Spears",0
2007-04-17,"Coldplay",0
2007-04-17,"Don Omar",0
2007-04-17,"Eminem",0
2007-04-17,"Kanye West",0
2007-04-17,"Nickelback",0
2007-04-17,"Rihanna",0
2007-04-17,"Seether",0
2007-04-17,"Shakira",0
2010-04-27,"Black Eyed Peas",0
2010-04-27,"Britney Spears",0
2010-04-27,"Coldplay",0
2010-04-27,"Don Omar",0
2010-04-27,"Eminem",0
2010-04-27,"Kanye West",0
2010-04-27,"Nickelback",0
2010-04-27,"Rihanna",0
2010-04-27,"Seether",0
2010-04-27,"Shakira",0
2003-06-24,"Black Eyed Peas",81
2003-06-24,"Britney Spears",0
2003-06-24,"Coldplay",0
2003-06-24,"Don Omar",0
2003-06-24,"Eminem",0
2003-06-24,"Kanye West",0
2003-06-24,"Nickelback",0
2003-06-24,"Rihanna",0
2003-06-24,"Seether",0
2003-06-24,"Shakira",0
2004-04-20,"Black Eyed Peas",0
2004-04-20,"Britney Spears",0
2004-04-20,"Coldplay",0
2004-04-20,"Don Omar",0
2004-04-20,"Eminem",0
2004-04-20,"Kanye West",0
2004-04-20,"Nickelback",0
2004-04-20,"Rihanna",0
2004-04-20,"Seether",0
2004-04-20,"Shakira",0
2005-01-01,"Black Eyed Peas",70
2005-01-01,"Britney Spears",0
2005-01-01,"Coldplay",0
2005-01-01,"Don Omar",0
2005-01-01,"Eminem",0
2005-01-01,"Kanye West",0
2005-01-01,"Nickelback",0
2005-01-01,"Rihanna",0
2005-01-01,"Seether",71
2005-01-01,"Shakira",0
2009-01-01,"Black Eyed Peas",73
2009-01-01,"Britney Spears",0
2009-01-01,"Coldplay",0
2009-01-01,"Don Omar",0
2009-01-01,"Eminem",0
2009-01-01,"Kanye West",0
2009-01-01,"Nickelback",0
2009-01-01,"Rihanna",0
2009-01-01,"Seether",0
2009-01-01,"Shakira",0
2010-01-01,"Black Eyed Peas",79
2010-01-01,"Britney Spears",0
2010-01-01,"Coldplay",0
2010-01-01,"Don Omar",81
2010-01-01,"Eminem",0
2010-01-01,"Kanye West",0
2010-01-01,"Nickelback",0
2010-01-01,"Rihanna",82
2010-01-01,"Seether",0
2010-01-01,"Shakira",0
2001-07-31,"Black Eyed Peas",0
2001-07-31,"Britney Spears",0
2001-07-31,"Coldplay",0
2001-07-31,"Don Omar",0
2001-07-31,"Eminem",0
2001-07-31,"Kanye West",0
2001-07-31,"Nickelback",0
2001-07-31,"Rihanna",0
2001-07-31,"Seether",0
2001-07-31,"Shakira",0
2003-11-01,"Black Eyed Peas",0
2003-11-01,"Britney Spears",0
2003-11-01,"Coldplay",0
2003-11-01,"Don Omar",0
2003-11-01,"Eminem",0
2003-11-01,"Kanye West",0
2003-11-01,"Nickelback",0
2003-11-01,"Rihanna",0
2003-11-01,"Seether",0
2003-11-01,"Shakira",0
2004-01-01,"Black Eyed Peas",0
2004-01-01,"Britney Spears",0
2004-01-01,"Coldplay",0
2004-01-01,"Don Omar",0
2004-01-01,"Eminem",0
2004-01-01,"Kanye West",0
2004-01-01,"Nickelback",0
2004-01-01,"Rihanna",0
2004-01-01,"Seether",71
2004-01-01,"Shakira",0
2010-04-20,"Black Eyed Peas",0
2010-04-20,"Britney Spears",0
2010-04-20,"Coldplay",0
2010-04-20,"Don Omar",0
2010-04-20,"Eminem",0
2010-04-20,"Kanye West",0
2010-04-20,"Nickelback",0
2010-04-20,"Rihanna",0
2010-04-20,"Seether",0
2010-04-20,"Shakira",0
2008-02-19,"Black Eyed Peas",0
2008-02-19,"Britney Spears",0
2008-02-19,"Coldplay",0
2008-02-19,"Don Omar",0
2008-02-19,"Eminem",0
2008-02-19,"Kanye West",0
2008-02-19,"Nickelback",0
2008-02-19,"Rihanna",0
2008-02-19,"Seether",0
2008-02-19,"Shakira",0
2009-01-20,"Black Eyed Peas",0
2009-01-20,"Britney Spears",0
2009-01-20,"Coldplay",0
2009-01-20,"Don Omar",0
2009-01-20,"Eminem",0
2009-01-20,"Kanye West",0
2009-01-20,"Nickelback",0
2009-01-20,"Rihanna",0
2009-01-20,"Seether",0
2009-01-20,"Shakira",0
2009-10-09,"Black Eyed Peas",0
2009-10-09,"Britney Spears",0
2009-10-09,"Coldplay",0
2009-10-09,"Don Omar",0
2009-10-09,"Eminem",0
2009-10-09,"Kanye West",0
2009-10-09,"Nickelback",0
2009-10-09,"Rihanna",0
2009-10-09,"Seether",0
2009-10-09,"Shakira",0
2000-05-16,"Black Eyed Peas",0
2000-05-16,"Britney Spears",80
2000-05-16,"Coldplay",0
2000-05-16,"Don Omar",0
2000-05-16,"Eminem",0
2000-05-16,"Kanye West",0
2000-05-16,"Nickelback",0
2000-05-16,"Rihanna",0
2000-05-16,"Seether",0
2000-05-16,"Shakira",0
2003-11-13,"Black Eyed Peas",0
2003-11-13,"Britney Spears",83
2003-11-13,"Coldplay",0
2003-11-13,"Don Omar",0
2003-11-13,"Eminem",0
2003-11-13,"Kanye West",0
2003-11-13,"Nickelback",0
2003-11-13,"Rihanna",0
2003-11-13,"Seether",0
2003-11-13,"Shakira",0
