"release_year","genres","count"
2006,"'country road'",3
2006,"'dance pop'",12
2006,"'emo'",3
2006,"'funk metal'",2
2006,"'hip pop'",2
2006,"'indie rock'",1
2006,"'latin hip hop'",1
2006,"'modern country rock'",3
2006,"'modern rock'",7
2006,"'neo mellow'",4
2006,"'neon pop punk'",1
2006,"'nu metal'",8
2006,"'permanent wave'",5
2006,"'pop'",16
2006,"'pop punk'",8
2006,"'pop rap'",1
2006,"'pop rock'",1
2006,"'post-grunge'",9
2006,"'pov: indie'",2
2006,"'punk'",2
2006,"'r&b'",3
2006,"'rap metal'",1
2006,"'rock'",11
2006,"'urban contemporary'",4
2006,"'urbano latino'",1
2007,"'alternative metal'",6
2007,"'alternative rock'",6
2007,"'atl hip hop'",1
2007,"'canadian pop'",1
2007,"'canadian rock'",1
2007,"'chicago rap'",9
2007,"'contemporary country'",1
2007,"'country'",1
2007,"'country road'",1
2007,"'dance pop'",9
2007,"'emo'",1
2007,"'funk metal'",1
2007,"'gangster rap'",2
2007,"'hip hop'",11
2007,"'hip pop'",2
2007,"'indie rock'",3
2007,"'indietronica'",4
2007,"'modern rock'",10
2007,"'neo mellow'",3
2007,"'neon pop punk'",2
2007,"'nu metal'",6
2007,"'permanent wave'",5
2007,"'pop'",13
2007,"'pop punk'",5
2007,"'pop rap'",4
2007,"'pop rock'",1
2007,"'post-grunge'",6
2007,"'pov: indie'",1
2007,"'r&b'",5
2007,"'rap'",12
2007,"'rap metal'",3
2007,"'rock'",14
2007,"'southern hip hop'",4
2007,"'trap'",4
2007,"'urban contemporary'",7
2008,"'alternative metal'",7
2008,"'atl hip hop'",2
2008,"'canadian rock'",1
2008,"'chicago rap'",1
2008,"'contemporary country'",3
2008,"'country'",4
2008,"'country road'",4
2008,"'dance pop'",11
2008,"'dirty south rap'",1
2008,"'gangster rap'",1
2008,"'hip hop'",4
2008,"'indie rock'",2
2008,"'indietronica'",3
2008,"'modern country rock'",3
2008,"'modern rock'",8
2008,"'neo mellow'",2
2008,"'neon pop punk'",1
2008,"'nu metal'",3
2008,"'permanent wave'",2
2008,"'pop'",22
2008,"'pop punk'",3
2008,"'pop rap'",6
